#Wavelength	n	k	er	ei
1937.0	1.937	0.92	2.905569	3.56408
1972.69591837	1.61	0.56	2.2785	1.8032
2008.39183673	1.393	0.43	1.755549	1.19798
2044.0877551	1.216	0.35	1.356156	0.8512
2079.78367347	1.088	0.27	1.110844	0.58752
2115.47959184	0.984	0.22	0.919856	0.43296
2151.1755102	0.892	0.17	0.766764	0.30328
2186.87142857	0.8211	0.16	0.64860521	0.262752
2222.56734694	0.756	0.14	0.551936	0.21168
2258.26326531	0.7045	0.13	0.47942025	0.18317
2293.95918367	0.6595	0.14	0.41534025	0.18466
2329.65510204	0.6168	0.21	0.33634224	0.259056
2365.35102041	0.5821	0.29	0.25474041	0.337618
2401.04693878	0.5486	0.43	0.11606196	0.471796
2436.74285714	0.5209	0.62	-0.11306319	0.645916
2472.43877551	0.4959	1.04	-0.83568319	1.031472
2508.13469388	0.4714	1.31	-1.49388204	1.235068
2543.83061224	0.4509	1.38	-1.70108919	1.244484
2579.52653061	0.4305	1.45	-1.91716975	1.24845
2615.22244898	0.4133	1.46	-1.96078311	1.206836
2650.91836735	0.3974	1.47	-2.00297324	1.168356
2686.61428571	0.3815	1.46	-1.98605775	1.11398
2722.31020408	0.3679	1.48	-2.05504959	1.088984
2758.00612245	0.3542	1.5	-2.12454236	1.0626
2793.70204082	0.3425	1.48	-2.07309375	1.0138
2829.39795918	0.3315	1.48	-2.08050775	0.98124
2865.09387755	0.3204	1.54	-2.26894384	0.986832
2900.78979592	0.3107	1.53	-2.24436551	0.950742
2936.48571429	0.3009	1.53	-2.25035919	0.920754
2972.18163265	0.2924	1.49	-2.13460224	0.871352
3007.87755102	0.2844	1.47	-2.08001664	0.836136
3043.57346939	0.2761	1.43	-1.96866879	0.789646
3079.26938776	0.2689	1.38	-1.83209279	0.742164
3114.96530612	0.2616	1.35	-1.75406544	0.70632
3150.66122449	0.2551	1.33	-1.70382399	0.678566
3186.35714286	0.249	1.33	-1.706899	0.66234
3222.05306122	0.2426	1.32	-1.68354524	0.640464
3257.74897959	0.2371	1.32	-1.68618359	0.625944
3293.44489796	0.2313	1.3	-1.63650031	0.60138
3329.14081633	0.2262	1.31	-1.66493356	0.592644
3364.83673469	0.2214	1.3	-1.64098204	0.57564
3400.53265306	0.2164	1.3	-1.64317104	0.56264
3436.22857143	0.2119	1.3	-1.64509839	0.55094
3471.9244898	0.2073	1.3	-1.64702671	0.53898
3507.62040816	0.2033	1.33	-1.72756911	0.540778
3543.31632653	0.1993	1.33	-1.72917951	0.530138
3579.0122449	0.1953	1.34	-1.75745791	0.523404
3614.70816327	0.1916	1.32	-1.70568944	0.505824
3650.40408163	0.1879	1.28	-1.60309359	0.481024
