#Wavelength	n	k	er	ei
1937.0	0.92	13.78	-189.042	25.3552
1610.0	0.56	11.21	-125.3505	12.5552
1393.0	0.43	9.519	-90.426461	8.18634
1216.0	0.35	8.145	-66.218525	5.7015
1088.0	0.27	7.15	-51.0496	3.861
984.0	0.22	6.35	-40.2741	2.794
892.0	0.17	5.663	-32.040669	1.92542
821.1	0.16	5.083	-25.811289	1.62656
756.0	0.14	4.542	-20.610164	1.27176
704.5	0.13	4.103	-16.817709	1.06678
659.5	0.14	3.697	-13.648209	1.03516
616.8	0.21	3.272	-10.661884	1.37424
582.1	0.29	2.863	-8.112669	1.66054
548.6	0.43	2.455	-5.842125	2.1113
520.9	0.62	2.081	-3.946161	2.58044
495.9	1.04	1.833	-2.278289	3.81264
471.4	1.31	1.849	-1.702701	4.84438
450.9	1.38	1.914	-1.758996	5.28264
430.5	1.45	1.948	-1.692204	5.6492
413.3	1.46	1.958	-1.702164	5.71736
397.4	1.47	1.952	-1.649404	5.73888
381.5	1.46	1.933	-1.604889	5.64436
367.9	1.48	1.895	-1.400625	5.6092
354.2	1.5	1.866	-1.231956	5.598
342.5	1.48	1.871	-1.310241	5.53816
331.5	1.48	1.883	-1.355289	5.57368
320.4	1.54	1.898	-1.230804	5.84584
310.7	1.53	1.893	-1.242549	5.79258
300.9	1.53	1.889	-1.227421	5.78034
292.4	1.49	1.878	-1.306784	5.59644
284.4	1.47	1.869	-1.332261	5.49486
276.1	1.43	1.847	-1.366509	5.28242
268.9	1.38	1.803	-1.346409	4.97628
261.6	1.35	1.749	-1.236501	4.7223
255.1	1.33	1.688	-1.080444	4.49008
249.0	1.33	1.631	-0.891261	4.33846
242.6	1.32	1.577	-0.744529	4.16328
237.1	1.32	1.536	-0.616896	4.05504
231.3	1.3	1.497	-0.551009	3.8922
226.2	1.31	1.46	-0.4155	3.8252
221.4	1.3	1.427	-0.346329	3.7102
216.4	1.3	1.387	-0.233769	3.6062
211.9	1.3	1.35	-0.1325	3.51
207.3	1.3	1.304	-0.010416	3.3904
203.3	1.33	1.277	0.138171	3.39682
199.3	1.33	1.251	0.203899	3.32766
195.3	1.34	1.226	0.292524	3.28568
191.6	1.32	1.203	0.295191	3.17592
187.9	1.28	1.188	0.227056	3.04128
